Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/8/2024 10:01:18 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
419,3+699.84,-0.018m,"1,406.870m",
420,3+699.96,-2.045m,"1,407.130m",
421,3+699.83,-4.948m,"1,407.080m",
422,3+700.00,-7.496m,"1,407.016m",
423,3+699.93,-9.605m,"1,407.138m",
424,3+700.15,-12.082m,"1,407.057m",
425,3+700.00,-14.002m,"1,407.219m",
426,3+699.88,-16.313m,"1,407.568m",
427,3+700.37,-20.211m,"1,407.760m",
428,3+720.44,17.760m,"1,406.344m",
429,3+719.91,14.821m,"1,406.430m",
430,3+719.81,10.934m,"1,406.381m",
431,3+720.09,8.529m,"1,406.404m",
432,3+719.88,5.092m,"1,406.215m",
433,3+719.82,2.852m,"1,406.304m",
434,3+719.79,1.075m,"1,406.163m",
435,3+719.86,-1.153m,"1,406.307m",
436,3+720.05,-4.684m,"1,406.194m",
437,3+719.95,-7.979m,"1,406.145m",
438,3+719.87,-9.958m,"1,406.806m",
439,3+720.10,-13.880m,"1,406.991m",
440,3+719.78,-17.589m,"1,407.000m",
441,3+740.74,22.123m,"1,405.471m",
442,3+739.99,14.788m,"1,405.547m",
443,3+740.00,10.948m,"1,405.652m",
444,3+739.85,8.011m,"1,405.674m",
445,3+739.70,5.993m,"1,405.433m",
446,3+740.14,0.269m,"1,405.474m",
447,3+739.96,-3.255m,"1,405.677m",
448,3+739.89,-5.183m,"1,406.013m",
449,3+739.86,-9.445m,"1,406.111m",
450,3+739.80,-13.376m,"1,406.079m",
451,3+739.81,-15.379m,"1,406.044m",
452,3+739.68,-16.644m,"1,406.023m",
453,3+739.69,-22.322m,"1,405.824m",
454,3+760.48,33.272m,"1,404.703m",
455,3+759.61,22.129m,"1,404.830m",
456,3+759.46,19.283m,"1,404.848m",
457,3+759.70,15.123m,"1,404.915m",
458,3+760.11,12.641m,"1,404.846m",
459,3+760.09,10.011m,"1,404.678m",
460,3+760.16,7.783m,"1,404.764m",
461,3+759.98,2.509m,"1,404.609m",
462,3+759.99,0.210m,"1,405.362m",
463,3+760.12,1.668m,"1,405.183m",
464,3+760.14,-2.800m,"1,405.358m",
465,3+759.91,-6.106m,"1,405.385m",
466,3+760.04,-8.986m,"1,405.279m",
467,3+760.08,-10.822m,"1,405.227m",
468,3+760.09,-12.399m,"1,405.201m",
469,3+759.90,-18.264m,"1,405.117m",
470,3+760.47,-21.630m,"1,405.345m",
471,3+779.85,22.744m,"1,403.881m",
472,3+780.06,17.541m,"1,404.064m",
473,3+779.82,15.089m,"1,403.909m",
474,3+780.02,8.385m,"1,403.958m",
475,3+779.88,5.373m,"1,404.626m",
476,3+779.97,-0.203m,"1,404.566m",
477,3+780.15,-6.702m,"1,404.472m",
478,3+779.88,-8.277m,"1,404.504m",
479,3+779.90,-14.739m,"1,404.418m",
480,3+779.74,-18.114m,"1,404.555m",
481,3+799.87,25.367m,"1,403.258m",
482,3+799.48,23.163m,"1,403.224m",
483,3+799.84,16.361m,"1,403.298m",
484,3+799.98,14.074m,"1,403.859m",
485,3+799.94,8.090m,"1,403.823m",
486,3+799.88,0.067m,"1,403.797m",
487,3+800.07,-3.465m,"1,403.770m",
488,3+800.14,-4.969m,"1,403.706m",
489,3+799.96,-10.966m,"1,403.792m",
490,0+219.94,7.501m,"1,394.097m",
491,0+220.06,6.451m,"1,393.989m",
492,0+219.89,5.703m,"1,393.675m",
493,0+220.00,2.261m,"1,393.822m",
494,0+220.04,1.444m,"1,394.256m",
495,0+219.94,-0.109m,"1,394.508m",
496,0+220.01,-6.785m,"1,395.429m",
497,0+219.95,-15.026m,"1,397.277m",
498,0+239.95,14.978m,"1,395.323m",
499,0+239.95,10.674m,"1,395.381m",
500,0+239.96,9.603m,"1,395.450m",
501,0+239.83,8.864m,"1,395.194m",
502,0+239.89,7.668m,"1,395.053m",
503,0+239.92,6.898m,"1,394.760m",
504,0+239.93,3.038m,"1,395.034m",
505,0+240.01,2.729m,"1,395.156m",
506,0+239.97,0.029m,"1,396.189m",
507,0+240.01,-3.141m,"1,396.475m",
508,0+239.99,-10.306m,"1,397.788m",
509,0+239.96,-15.058m,"1,398.812m",
510,0+259.97,15.036m,"1,397.117m",
511,0+259.92,12.703m,"1,397.193m",
512,0+259.95,11.790m,"1,397.373m",
513,0+259.98,10.728m,"1,396.627m",
514,0+259.93,9.993m,"1,396.728m",
515,0+259.98,9.742m,"1,396.575m",
516,0+259.94,9.168m,"1,396.431m",
517,0+260.00,8.393m,"1,396.124m",
518,0+260.00,4.572m,"1,396.445m",
519,0+260.00,3.648m,"1,396.917m",
520,0+259.99,0.164m,"1,397.581m",
521,0+259.94,-8.429m,"1,399.416m",
522,0+260.02,-14.970m,"1,402.230m",
523,0+259.94,-11.952m,"1,400.688m",
524,0+280.03,15.003m,"1,397.140m",
525,0+279.94,11.864m,"1,398.162m",
526,0+279.98,10.117m,"1,397.363m",
527,0+280.04,5.831m,"1,397.901m",
528,0+279.99,4.278m,"1,398.254m",
529,0+279.93,-0.022m,"1,398.519m",
530,0+279.91,-4.147m,"1,399.165m",
531,0+279.94,-7.194m,"1,399.658m",
532,0+279.94,-9.622m,"1,400.132m",
533,0+280.02,-11.195m,"1,401.286m",
534,0+279.94,-14.875m,"1,403.190m",
535,0+299.98,15.008m,"1,397.505m",
536,0+299.99,11.422m,"1,398.538m",
537,0+299.97,10.755m,"1,398.384m",
538,0+300.00,10.066m,"1,398.061m",
539,0+300.01,6.018m,"1,398.202m",
540,0+300.03,5.104m,"1,398.721m",
541,0+300.03,-0.014m,"1,399.826m",
542,0+299.92,-2.721m,"1,399.809m",
543,0+299.88,-6.103m,"1,399.990m",
544,0+299.92,-11.573m,"1,400.591m",
545,0+299.98,-15.033m,"1,401.284m",
546,0+319.99,14.854m,"1,398.599m",
547,0+319.92,12.666m,"1,398.567m",
548,0+319.97,8.730m,"1,398.500m",
549,0+319.96,4.493m,"1,398.693m",
550,0+319.98,3.445m,"1,398.715m",
551,0+319.95,0.018m,"1,399.386m",
552,0+319.91,-5.884m,"1,399.928m",
553,0+319.91,-7.883m,"1,400.117m",
554,0+319.88,-14.833m,"1,401.132m",
555,0+319.95,-4.568m,"1,399.795m",
556,0+339.99,14.955m,"1,397.826m",
557,0+339.94,7.452m,"1,399.298m",
558,0+340.04,6.467m,"1,398.921m",
559,0+339.98,1.910m,"1,398.942m",
560,0+340.00,0.724m,"1,399.311m",
561,0+339.98,0.025m,"1,400.042m",
562,0+339.95,-0.400m,"1,400.343m",
563,0+339.98,-1.860m,"1,400.057m",
564,0+339.95,-6.055m,"1,400.589m",
565,0+339.88,-10.175m,"1,401.341m",
566,0+339.96,-14.942m,"1,402.076m",
567,0+359.88,14.912m,"1,398.203m",
568,0+359.96,6.059m,"1,399.535m",
569,0+360.04,5.159m,"1,399.570m",
570,0+359.94,4.356m,"1,399.528m",
571,0+359.94,3.450m,"1,399.296m",
572,0+359.96,-0.079m,"1,399.367m",
573,0+359.96,-1.320m,"1,399.552m",
574,0+359.96,-1.892m,"1,399.773m",
575,0+359.94,-2.689m,"1,399.570m",
576,0+359.93,-6.363m,"1,400.966m",
577,0+359.98,-4.849m,"1,399.948m",
578,0+360.00,-9.746m,"1,401.344m",
579,0+359.94,-14.886m,"1,401.892m",
580,0+366.52,17.049m,"1,397.630m",
581,0+366.85,10.549m,"1,398.048m",
582,0+366.93,9.011m,"1,399.558m",
583,0+367.21,5.182m,"1,399.982m",
584,0+367.25,4.373m,"1,399.663m",
585,0+367.30,3.151m,"1,399.534m",
586,0+367.48,2.308m,"1,399.618m",
587,0+367.55,0.052m,"1,399.496m",
588,0+367.74,-2.464m,"1,399.611m",
589,0+367.76,-3.242m,"1,399.867m",
590,0+367.74,-4.885m,"1,400.395m",
591,0+368.19,-11.297m,"1,401.313m",
592,0+368.40,-14.561m,"1,401.808m",
593,0+371.44,-15.452m,"1,401.929m",
594,0+371.18,-11.569m,"1,401.115m",
595,0+370.97,-8.258m,"1,400.968m",
596,0+370.86,-4.792m,"1,400.330m",
597,2+679.91,-0.188m,"1,433.641m",
598,2+679.91,-8.361m,"1,433.983m",
599,2+679.96,-14.431m,"1,434.265m",
600,2+680.31,-19.688m,"1,434.348m",
601,2+679.53,-26.822m,"1,434.708m",
602,2+670.42,24.671m,"1,431.359m",
603,2+670.39,14.503m,"1,431.721m",
604,2+670.45,8.266m,"1,432.655m",
605,2+671.12,1.869m,"1,432.568m",
606,2+671.14,-0.270m,"1,432.873m",
